name,id,duration_ms_x,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms_y,time_signature,end_of_fade_in,start_of_fade_out,analysis_sample_rate,error
La Ciudad,4x6aawsLyPkF3aGPXGvbat,271136,False,52,0.663,0.84,9.0,-5.618,0.0,0.0453,0.00534,0.342,0.169,0.2,108.022,audio_features,spotify:track:4x6aawsLyPkF3aGPXGvbat,https://api.spotify.com/v1/tracks/4x6aawsLyPkF3aGPXGvbat,https://api.spotify.com/v1/audio-analysis/4x6aawsLyPkF3aGPXGvbat,271136.0,4.0,0.11066,265.83365,22050,
Glow (feat. Jeremy Zucker),4BZufKgQKJNUEd4NNYHc63,245374,False,45,0.424,0.546,11.0,-6.953,0.0,0.0544,0.345,0.0,0.11,0.544,110.034,audio_features,spotify:track:4BZufKgQKJNUEd4NNYHc63,https://api.spotify.com/v1/tracks/4BZufKgQKJNUEd4NNYHc63,https://api.spotify.com/v1/audio-analysis/4BZufKgQKJNUEd4NNYHc63,245375.0,4.0,0.0,243.12454,22050,
Body,21RzyxY3EFaxVy6K4RqaU9,163216,False,76,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,audio_features,spotify:track:21RzyxY3EFaxVy6K4RqaU9,https://api.spotify.com/v1/tracks/21RzyxY3EFaxVy6K4RqaU9,https://api.spotify.com/v1/audio-analysis/21RzyxY3EFaxVy6K4RqaU9,163216.0,4.0,0.0,160.50214,22050,
Drifter,1DehtVbbTjUQjxGaXd5PnH,210307,False,64,0.389,0.308,7.0,-14.46,0.0,0.0751,0.853,0.937,0.172,0.13,129.138,audio_features,spotify:track:1DehtVbbTjUQjxGaXd5PnH,https://api.spotify.com/v1/tracks/1DehtVbbTjUQjxGaXd5PnH,https://api.spotify.com/v1/audio-analysis/1DehtVbbTjUQjxGaXd5PnH,210308.0,4.0,0.0,197.9327,22050,
Devil Eyes,7MiZjKawmXTsTNePyTfPyL,131271,False,81,0.391,0.396,1.0,-8.621,0.0,0.189,0.702,0.405,0.315,0.199,99.112,audio_features,spotify:track:7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/tracks/7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/audio-analysis/7MiZjKawmXTsTNePyTfPyL,131272.0,5.0,0.0,125.202,22050,
Hurting,25RidNaiNy18JKHuF3T26h,185084,False,0,0.792,0.649,11.0,-3.966,0.0,0.0808,0.426,9.27e-05,0.0942,0.444,118.016,audio_features,spotify:track:25RidNaiNy18JKHuF3T26h,https://api.spotify.com/v1/tracks/25RidNaiNy18JKHuF3T26h,https://api.spotify.com/v1/audio-analysis/25RidNaiNy18JKHuF3T26h,185085.0,4.0,2.84444,182.62494,22050,
Revolution (feat. Faustix & Imanos and Kai) - Absence Remix,1K4G5LfdiD0fxVZDG5c0RR,238266,False,0,0.585,0.661,8.0,-3.114,1.0,0.137,0.0509,0.000149,0.199,0.169,123.933,audio_features,spotify:track:1K4G5LfdiD0fxVZDG5c0RR,https://api.spotify.com/v1/tracks/1K4G5LfdiD0fxVZDG5c0RR,https://api.spotify.com/v1/audio-analysis/1K4G5LfdiD0fxVZDG5c0RR,238266.0,4.0,0.20336,231.24171,22050,
Down,5eCkuGPZNl4mISFNPgr3Dd,197773,False,62,0.678,0.357,0.0,-14.712,0.0,0.128,0.675,0.00569,0.124,0.0661,113.301,audio_features,spotify:track:5eCkuGPZNl4mISFNPgr3Dd,https://api.spotify.com/v1/tracks/5eCkuGPZNl4mISFNPgr3Dd,https://api.spotify.com/v1/audio-analysis/5eCkuGPZNl4mISFNPgr3Dd,197773.0,5.0,0.37143,194.01433,22050,
count on,48o9xqLcWr5sPqNAJF9ft1,206994,False,50,0.689,0.503,8.0,-10.061,0.0,0.101,0.195,0.232,0.0678,0.0634,116.079,audio_features,spotify:track:48o9xqLcWr5sPqNAJF9ft1,https://api.spotify.com/v1/tracks/48o9xqLcWr5sPqNAJF9ft1,https://api.spotify.com/v1/audio-analysis/48o9xqLcWr5sPqNAJF9ft1,206995.0,4.0,0.24957,197.358,22050,
Show Me,3y8fG2oGK5sx7liKZ9oyx7,227555,False,61,0.566,0.447,1.0,-8.303,1.0,0.0372,0.418,0.00443,0.114,0.0394,101.171,audio_features,spotify:track:3y8fG2oGK5sx7liKZ9oyx7,https://api.spotify.com/v1/tracks/3y8fG2oGK5sx7liKZ9oyx7,https://api.spotify.com/v1/audio-analysis/3y8fG2oGK5sx7liKZ9oyx7,227556.0,3.0,0.0,213.07791,22050,
Klanga,4e792Rjo6Zz0IlWp7mIOye,228733,False,46,0.492,0.741,6.0,-6.723,1.0,0.032,0.000347,0.232,0.0847,0.15,123.909,audio_features,spotify:track:4e792Rjo6Zz0IlWp7mIOye,https://api.spotify.com/v1/tracks/4e792Rjo6Zz0IlWp7mIOye,https://api.spotify.com/v1/audio-analysis/4e792Rjo6Zz0IlWp7mIOye,228733.0,4.0,0.0,220.10194,22050,
So Much Love - Radio Edit,787hL8gKV4B7fTJFL2K7ax,167826,False,0,0.846,0.822,1.0,-3.587,1.0,0.0489,0.000511,0.000285,0.0607,0.407,125.966,audio_features,spotify:track:787hL8gKV4B7fTJFL2K7ax,https://api.spotify.com/v1/tracks/787hL8gKV4B7fTJFL2K7ax,https://api.spotify.com/v1/audio-analysis/787hL8gKV4B7fTJFL2K7ax,167827.0,4.0,0.20907,158.9406,22050,
Girls,0TaLEGNb6f3nL2VME9SxAR,271002,False,44,0.682,0.655,1.0,-6.426,0.0,0.065,0.21,0.0,0.158,0.354,101.024,audio_features,spotify:track:0TaLEGNb6f3nL2VME9SxAR,https://api.spotify.com/v1/tracks/0TaLEGNb6f3nL2VME9SxAR,https://api.spotify.com/v1/audio-analysis/0TaLEGNb6f3nL2VME9SxAR,271003.0,4.0,0.06426,267.2733,22050,
Raining Day,4OF8CI4ylNpMbkYtxZN6e6,214000,False,41,0.737,0.672,10.0,-8.559,1.0,0.0316,0.579,0.558,0.0716,0.44,107.962,audio_features,spotify:track:4OF8CI4ylNpMbkYtxZN6e6,https://api.spotify.com/v1/tracks/4OF8CI4ylNpMbkYtxZN6e6,https://api.spotify.com/v1/audio-analysis/4OF8CI4ylNpMbkYtxZN6e6,214000.0,4.0,0.19732,204.4575,22050,
Habits (Stay High) - Hippie Sabotage Remix,62N2JSA0jHmSH7Va9t7hIf,258933,False,66,0.735,0.686,4.0,-7.562,0.0,0.0366,0.00108,0.874,0.0933,0.0656,121.011,audio_features,spotify:track:62N2JSA0jHmSH7Va9t7hIf,https://api.spotify.com/v1/tracks/62N2JSA0jHmSH7Va9t7hIf,https://api.spotify.com/v1/audio-analysis/62N2JSA0jHmSH7Va9t7hIf,258933.0,4.0,0.24812,253.57352,22050,
